passage_id,question,passage
2001_627.txt_Art. 403,Jakimi funduszami są gminne i powiatowe fundusze w rozumieniu ustawy o finansach publicznych?,"Art. 403. 1. Gminne i powiatowe fundusze są funduszami celowymi w rozumieniu ustawy o finansach publicznych. 2. Przychody funduszy, o których mowa w ust. 1, są gromadzone na odrębnym rachunku bankowym. "
1999_95.txt_Art. 66,Która jednostka organizacyjna wyznacza osobę odpowiedzialną za nadzorowanie i kontrolę w zakresie wykonywania przez przedsiębiorcę obowiązku ochrony przekazanych im informacji niejawnych?,"Art. 66. Jednostka organizacyjna, która zawiera umowę, wyznacza osobę odpowiedzialną za nadzorowanie, kontrolę, szkolenie i doradztwo w zakresie wykonywania przez przedsiębiorcę, jednostkę naukową lub badawczo "" rozwojową obowiązku ochrony przekazanych im informacji niejawnych. "
1999_483.txt_Art. 110,Kto powołuje komisję dyscyplinarną urzędu spośród członków korpusu służby cywilnej?,"Art. 110. 1. Komisję dyscyplinarną urzędu powołuje dyrektor generalny urzędu spośród członków korpusu służby cywilnej zatrudnionych w urzędzie. W razie potrzeby Szef Służby Cywilnej może utworzyć komisję dyscyplinarną dla kilku urzędów. 2. Komisję dyscyplinarną urzędu, w liczbie co najmniej 10 członków korpusu służby cywilnej, w tym przewodniczącego i zastępców przewodniczącego, powołuje się na okres 3 lat. 3. Komisja dyscyplinarna urzędu powołuje ze swojego grona przewodniczącego komisji i jego zastępców. 4. Tryb pracy komisji dyscyplinarnej urzędu określa regulamin uchwalony przez komisję i zatwierdzony przez dyrektora generalnego urzędu. "
"2004_2065.txt_Art.
11",W jakim terminie należy dostosować umowy o przyłączenie źródeł do sieci?," Art. 11. 1. Umowy o przyłączenie źródeł do sieci zawarte przed dniem wejścia w życie niniejszej ustawy, na podstawie których nie zrealizowano przyłączenia do sieci do dnia wejścia w życie niniejszej ustawy, należy dostosować do wymagań określonych w art. 7 ust. 2 ustawy zmienianej w art. 1, w brzmieniu nadanym niniejszą ustawą, w terminie 6 miesięcy od dnia wejścia w życie niniejszej ustawy. 2. W przypadku niedostosowania umów, o których mowa w ust. 1, do wymagań określonych w art. 7 ust. 2 ustawy zmienianej w art. 1, w brzmieniu nadanym niniejszą ustawą, w terminie określonym w ust. 1, stronie przysługuje prawo odstąpienia od umowy, chyba że niedostosowanie umowy nastąpiło z powodu okoliczności za które ta strona ponosi odpowiedzialność. "
1997_555.txt_Art. 117,"Kto określi warunki i tryb usprawiedliwienia niestawiennictwa oskarżonych, świadków i innych uczestników procesu z powodu choroby?","Art. 117. § 1. Uprawnionego do wzięcia udziału w czynności procesowej zawiadamia się o jej czasie i miejscu, chyba że ustawa stanowi inaczej. § 2. Czynności nie przeprowadza się, jeżeli osoba uprawniona nie stawiła się, a brak dowodu, że została o niej powiadomiona, oraz jeżeli zachodzi uzasadnione przypuszczenie, że niestawiennictwo wynikło z powodu przeszkód żywiołowych lub innych wyjątkowych przyczyn, a także wtedy, gdy osoba ta usprawiedliwiła należycie niestawiennictwo i wnosi o nieprzeprowadzanie czynności bez jej obecności, chyba że ustawa stanowi inaczej. § 3. W razie niestawiennictwa strony, obrońcy lub pełnomocnika, których stawiennictwo jest obowiązkowe, czynności procesowej nie przeprowadza się, chyba że ustawa stanowi inaczej. § 4. Minister Sprawiedliwości oraz Minister Zdrowia i Opieki Społecznej określą, w drodze rozporządzenia, warunki i tryb usprawiedliwienia niestawiennictwa oskarżonych, świadków i innych uczestników procesu z powodu choroby. "
2000_857.txt_Art. 761,Pod jakim warunkiem agent może żądać prowizji od umowy zawartej po rozwiązaniu umowy?,"Art. 761{1}. §1. Agent może żądać prowizji od umowy zawartej po rozwiązaniu umowy agencyjnej, jeżeli - przy spełnieniu przesłanek z art. 761 - propozycję zawarcia umowy dający zlecenie lub agent otrzymał od klienta przed rozwiązaniem umowy agencyjnej. §2. Agent może żądać prowizji od umowy zawartej po rozwiązaniu umowy agencyjnej także wtedy, gdy do jej zawarcia doszło w przeważającej mierze w wyniku jego działalności w okresie trwania umowy agencyjnej, a zarazem w rozsądnym czasie od jej rozwiązania. "
2001_1070.txt_Art. 54,Czego nie wolno wnosić do budynków sądowych?,"Art. 54. §1. Do budynków sądowych nie wolno wnosić broni ani amunicji a także materiałów wybuchowych i innych środków niebezpiecznych. Nie dotyczy to osób wykonujących w budynkach sądowych obowiązki służbowe wymagające posiadania broni. §2. Prezes sądu może zarządzić stosowanie środków zapewniających bezpieczeństwo w budynkach sądowych oraz zapobiegających naruszaniu zakazu, o którym mowa w § 1. W takim przypadku do ochrony budynków sądowych oraz osób w nich przebywających stosuje się przepisy o ochronie osób i mienia. Dział II Sędziowie Rozdział 1 Status sędziego "
2001_1195.txt_Art. 141,W jakim terminie bank krajowy może zaskarżyć decyzję Komisji Nadzoru Finansowego do Naczelnego Sądu Administracyjnego?,"Art. 141b. 1. Komisja Nadzoru Bankowego po otrzymaniu od właściwych władz nadzorczych państwa goszczącego informacji, iż bank krajowy wykonujący czynności na jego terytorium poprzez oddział lub w ramach działalności transgranicznej narusza obowiązujące w państwie goszczącym przepisy prawa, może zastosować w stosunku do banku środki przewidziane w art. 138 ust. 3. 2. Decyzje Komisji Nadzoru Bankowego wydane na podstawie ust. 1 są natychmiast wykonalne. Przepisu art. 127 § 3 Kodeksu postępowania administracyjnego nie stosuje się. 3. Decyzję Komisji Nadzoru Bankowego, wydaną na podstawie ust. 1, bank krajowy może zaskarżyć do Naczelnego Sądu Administracyjnego, w terminie 7 dni od dnia jej doręczenia. "
2001_499.txt_Art. 50,W skutek czego następuje wygaśnięcie członkostwa w obwodowej komisji wyborczej?,"Art. 50. 1. Wygaśnięcie członkostwa w obwodowej komisji wyborczej następuje wskutek: 1) zrzeczenia się członkostwa, 2) odwołania z przyczyn, o których mowa w ust. 2, 3) wystąpienia przyczyn, o których mowa w art. 34 ust. 2, 4) śmierci członka komisji, 5) utraty prawa wybierania lub niespełniania warunku, o którym mowa w art. 48 ust. 3. 2. Członek obwodowej komisji wyborczej może być odwołany ze składu komisji w razie nieobecności na pierwszym posiedzeniu i niewyjaśnienia w terminie 2 dni przyczyny nieobecności. 3. Uzupełnienie składu komisji następuje w trybie i na zasadach określonych w przepisach o jej powołaniu. "
2001_627.txt_Art. 185,Pod jakim warunkiem należy podać informację o wszczęciu postępowania do publicznej wiadomości?,"Art. 185. 1. Jeżeli w postępowaniu o wydanie pozwolenia zachodzi prawdopodobieństwo, że w sprawie mogą być jeszcze inne strony nieznane organowi administracji, informację o wszczęciu postępowania należy podać do publicznej wiadomości. 2. Podanie do publicznej wiadomości, o którym mowa w ust. 1, czyni zadość obowiązkowi zawiadomienia stron w rozumieniu Kodeksu postępowania administracyjnego. "
1995_618.txt_Art. 27,Jakich informacji może zażądać dyrektor urzędu morskiego od statku przepływającego przez polskie obszary morskie?,"Art. 27. Dyrektor urzędu morskiego może: 1) zażądać od statku przepływającego przez polskie obszary morskie informacji dotyczących identyfikacji, portu rejestracji, ostatniego i następnego portu zawinięcia oraz innych niezbędnych informacji, w razie uzasadnionego podejrzenia, że statek płynąc przez te obszary naruszył przepisy ustawy, powodując zanieczyszczenie lub zagrożenie zanieczyszczeniem, 2) przeprowadzić inspekcję statku przepływającego przez polskie obszary morskie, w razie: a) uzasadnionego podejrzenia, że naruszył przepisy ustawy wskutek zrzutu powodującego lub grożącego znacznym zanieczyszczeniem morza, b) odmowy udzielenia informacji, o których mowa w pkt 1, lub jeżeli informacja podana przez statek jest w sposób oczywisty różna od stanu faktycznego, a okoliczności sprawy uzasadniają taką inspekcję. "
1997_31.txt_Art. 14,Jakiej kontroli podlegają towary przywożone z zagranicy?,"Art. 14. 1. Towary przywożone z zagranicy oraz przewożone przez terytorium Rzeczypospolitej Polskiej podlegają weterynaryjnej kontroli granicznej. 2. Weterynaryjna kontrola graniczna obejmuje: 1) sprawdzenie, czy nie zostały naruszone przepisy art. 10, 2) sprawdzenie dokumentów, o których mowa w art. 11 i 12, wymaganych przy przywozie lub przewozie towaru, 3) oględziny towaru, a w razie potrzeby jego badanie. 3. Graniczny lekarz weterynarii dokonuje w świadectwie zdrowia wpisu o przeprowadzeniu i wyniku kontroli. 4. Graniczny lekarz weterynarii zakaże przywozu z zagranicy lub przewozu towarów przez terytorium Rzeczypospolitej Polskiej albo nakaże zabicie lub ubój sanitarny zwierząt, zniszczenie towarów lub innych rzeczy, jeżeli kontrola wykaże, że: 1) towary nie spełniają warunków określonych w art. 11 i 12, 2) zostały naruszone przepisy art. 10, a w szczególności, jeżeli przywożone lub przewożone: a) zwierzęta są chore lub podejrzane o zakażenie, b) mięso jest niezdatne lub o ograniczonej przydatności do spożycia, c) towary i inne rzeczy przenoszą lub mogą przenosić chorobę zakaźną. 5. W razie potrzeby graniczny lekarz weterynarii może: 1) zastosować środki przewidziane w art. 22 pkt 1, 3-5, 9, 12 i 13, 2) nakazać przeprowadzenie uboju z konieczności zwierząt, które ze względu na stan zdrowia nie nadają się do dalszego transportu, a w szczególności zwierząt, które doznały urazów lub zranień. 6. Minister Rolnictwa i Gospodarki Żywnościowej w porozumieniu z Ministrami Spraw Wewnętrznych i Administracji oraz Transportu i Gospodarki Morskiej określi, w drodze rozporządzenia, przejścia graniczne, na których będzie dokonywana weterynaryjna kontrola graniczna. 7. Minister Rolnictwa i Gospodarki Żywnościowej ogłosi w Dzienniku Urzędowym Ministerstwa Rolnictwa i Gospodarki Żywnościowej wykaz towarów podlegających weterynaryjnej kontroli granicznej. "
1998_1015.txt_Art. 42,Na czyj wniosek minister właściwy do spraw instytucji finansowych może zarządzić likwidację głównego oddziału?,"Art. 42n. 1. Minister właściwy do spraw instytucji finansowych, na wniosek organu nadzoru, może zarządzić likwidację głównego oddziału w przypadku, gdy: 1) działalność zagranicznego zakładu ubezpieczeń jest prowadzona z naruszeniem przepisów prawa lub jest sprzeczna z planem działalności, 2) zagraniczny zakład ubezpieczeń nie spełnia świadczeń ubezpieczeniowych na terenie Rzeczypospolitej Polskiej albo spełnia je z opóźnieniem lub częściowo. 2. W razie zarządzenia likwidacji, organ nadzoru wyznacza likwidatora. Przepisy art. 42m stosuje się odpowiednio. "
1997_557.txt_Art. 198,Do kogo sąd przesyła odpis wyroku w razie orzeczenia podania wyroku do publicznej wiadomości przez ogłoszenie w czasopiśmie?,"Art. 198. § 1. W razie orzeczenia podania wyroku do publicznej wiadomości przez ogłoszenie w czasopiśmie, sąd przesyła odpis wyroku lub wyciąg z wyroku, ze wzmianką dotyczącą prawomocności, redakcji określonego w wyroku czasopisma, z poleceniem wydrukowania w jednym z najbliższych jego numerów. § 2. Redakcja czasopisma ma obowiązek zawiadomić sąd o wykonaniu polecenia, przesyłając jednocześnie egzemplarz, w którym zamieszczono ogłoszenie; w razie nieprawidłowości sąd nakazuje je usunąć. "
